Case_ID,Activity,Resource,Start_Timestamp,Complete_Timestamp,Variant,Variant_index,(case)_ApplicationType,(case)_creditGoal,(case)_RequestedAmount,Accepted,Action,CreditScore,EventID,EventOrigin,FirstWithdrawalAmount,MonthlyCost,NumberOfTerms,OfferID,OfferedAmount,Selected,lifecycle:transition,starttimestamp,endtimestamp
Application_652823628,W_Validate application,User_117,2016/01/13 14:10:55.145,2016/01/13 14:10:55.145,Variant 2,2,New credit,Existing credit takeover,2e4,NA,Obtained,NA,Workitem_1641716416,Workflow,NA,NA,NA,NA,NA,NA,start,2016-01-13T13:10:55Z,2016-01-13T13:10:55Z
Application_652823628,A_Validating,User_117,2016/01/13 14:10:55.973,2016/01/13 14:10:55.973,Variant 2,2,New credit,Existing credit takeover,2e4,NA,statechange,NA,ApplState_752879093,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-13T13:10:55Z,2016-01-13T13:10:55Z
Application_652823628,O_Returned,User_117,2016/01/13 14:11:03.569,2016/01/13 14:11:03.569,Variant 2,2,New credit,Existing credit takeover,2e4,NA,statechange,NA,OfferState_1310330551,Offer,NA,NA,NA,Offer_148581083,NA,NA,complete,2016-01-13T13:11:03Z,2016-01-13T13:11:03Z
Application_652823628,W_Call incomplete files,User_115,2016/01/14 10:16:20.972,2016/01/14 10:16:20.972,Variant 2,2,New credit,Existing credit takeover,2e4,NA,Obtained,NA,Workitem_2031858979,Workflow,NA,NA,NA,NA,NA,NA,start,2016-01-14T09:16:20Z,2016-01-14T09:16:20Z
Application_652823628,A_Incomplete,User_115,2016/01/14 10:16:20.974,2016/01/14 10:16:20.974,Variant 2,2,New credit,Existing credit takeover,2e4,NA,statechange,NA,ApplState_390139749,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-14T09:16:20Z,2016-01-14T09:16:20Z
Application_652823628,W_Validate application,User_117,2016/01/14 14:39:51.494,2016/01/14 14:39:51.494,Variant 2,2,New credit,Existing credit takeover,2e4,NA,Obtained,NA,Workitem_2071763612,Workflow,NA,NA,NA,NA,NA,NA,start,2016-01-14T13:39:51Z,2016-01-14T13:39:51Z
Application_652823628,A_Validating,User_117,2016/01/14 14:39:51.556,2016/01/14 14:39:51.556,Variant 2,2,New credit,Existing credit takeover,2e4,NA,statechange,NA,ApplState_1264188685,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-14T13:39:51Z,2016-01-14T13:39:51Z
Application_652823628,O_Accepted,User_115,2016/01/14 16:49:11.416,2016/01/14 16:49:11.416,Variant 2,2,New credit,Existing credit takeover,2e4,NA,statechange,NA,OfferState_1093322349,Offer,NA,NA,NA,Offer_148581083,NA,NA,complete,2016-01-14T15:49:11Z,2016-01-14T15:49:11Z
Application_652823628,A_Pending,User_115,2016/01/14 16:49:11.420,2016/01/14 16:49:11.420,Variant 2,2,New credit,Existing credit takeover,2e4,NA,statechange,NA,ApplState_1179730815,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-14T15:49:11Z,2016-01-14T15:49:11Z
Application_1691306052,A_Create Application,User_1,2016/01/01 11:16:11.500,2016/01/01 11:16:11.500,Variant 388,388,New credit,Home improvement,1e4,NA,Created,NA,Application_1691306052,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-01T10:16:11Z,2016-01-01T10:16:11Z
Application_1691306052,A_Submitted,User_1,2016/01/01 11:16:11.549,2016/01/01 11:16:11.549,Variant 388,388,New credit,Home improvement,1e4,NA,statechange,NA,ApplState_284636842,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-01T10:16:11Z,2016-01-01T10:16:11Z
Application_1691306052,A_Concept,User_1,2016/01/01 11:17:31.594,2016/01/01 11:17:31.594,Variant 388,388,New credit,Home improvement,1e4,NA,statechange,NA,ApplState_421204851,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-01T10:17:31Z,2016-01-01T10:17:31Z
Application_1691306052,W_Complete application,User_38,2016/01/02 11:50:42.796,2016/01/02 12:03:05.324,Variant 388,388,New credit,Home improvement,1e4,NA,Deleted,NA,Workitem_28216352,Workflow,NA,NA,NA,NA,NA,NA,complete,2016-01-02T10:50:42Z,2016-01-02T11:03:05Z
Application_1691306052,A_Accepted,User_38,2016/01/02 11:59:44.735,2016/01/02 11:59:44.735,Variant 388,388,New credit,Home improvement,1e4,NA,statechange,NA,ApplState_525970231,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-02T10:59:44Z,2016-01-02T10:59:44Z
Application_1691306052,O_Create Offer,User_38,2016/01/02 12:02:38.994,2016/01/02 12:02:38.994,Variant 388,388,New credit,Home improvement,1e4,false,Created,0,Offer_1669071500,Offer,500,200,33,NA,6e3,false,complete,2016-01-02T11:02:38Z,2016-01-02T11:02:38Z
Application_1691306052,O_Created,User_38,2016/01/02 12:02:40.442,2016/01/02 12:02:40.442,Variant 388,388,New credit,Home improvement,1e4,NA,statechange,NA,OfferState_680973097,Offer,NA,NA,NA,Offer_1669071500,NA,NA,complete,2016-01-02T11:02:40Z,2016-01-02T11:02:40Z
Application_1691306052,O_Sent (mail and online),User_38,2016/01/02 12:03:05.300,2016/01/02 12:03:05.300,Variant 388,388,New credit,Home improvement,1e4,NA,statechange,NA,OfferState_618588716,Offer,NA,NA,NA,Offer_1669071500,NA,NA,complete,2016-01-02T11:03:05Z,2016-01-02T11:03:05Z
Application_1691306052,W_Call after offers,User_38,2016/01/02 12:03:05.343,2016/01/02 12:03:05.343,Variant 388,388,New credit,Home improvement,1e4,NA,Obtained,NA,Workitem_107760987,Workflow,NA,NA,NA,NA,NA,NA,start,2016-01-02T11:03:05Z,2016-01-02T11:03:05Z
Application_1691306052,A_Complete,User_38,2016/01/02 12:03:05.346,2016/01/02 12:03:05.346,Variant 388,388,New credit,Home improvement,1e4,NA,statechange,NA,ApplState_173433077,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-02T11:03:05Z,2016-01-02T11:03:05Z
Application_1691306052,W_Validate application,User_68,2016/01/07 10:40:08.560,2016/01/07 14:29:49.725,Variant 388,388,New credit,Home improvement,1e4,NA,Deleted,NA,Workitem_72878931,Workflow,NA,NA,NA,NA,NA,NA,complete,2016-01-07T09:40:08Z,2016-01-07T13:29:49Z
Application_1691306052,A_Validating,User_119,2016/01/07 10:40:09.412,2016/01/07 10:40:09.412,Variant 388,388,New credit,Home improvement,1e4,NA,statechange,NA,ApplState_2031628358,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-07T09:40:09Z,2016-01-07T09:40:09Z
Application_1691306052,A_Denied,User_68,2016/01/07 14:29:49.671,2016/01/07 14:29:49.671,Variant 388,388,New credit,Home improvement,1e4,NA,statechange,NA,ApplState_1181660825,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-07T13:29:49Z,2016-01-07T13:29:49Z
Application_1691306052,O_Refused,User_68,2016/01/07 14:29:49.710,2016/01/07 14:29:49.710,Variant 388,388,New credit,Home improvement,1e4,NA,statechange,NA,OfferState_1494429296,Offer,NA,NA,NA,Offer_1669071500,NA,NA,complete,2016-01-07T13:29:49Z,2016-01-07T13:29:49Z
Application_428409768,A_Create Application,User_1,2016/01/01 12:19:38.177,2016/01/01 12:19:38.177,Variant 209,209,New credit,Home improvement,15e3,NA,Created,NA,Application_428409768,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-01T11:19:38Z,2016-01-01T11:19:38Z
Application_428409768,A_Submitted,User_1,2016/01/01 12:19:38.235,2016/01/01 12:19:38.235,Variant 209,209,New credit,Home improvement,15e3,NA,statechange,NA,ApplState_105207793,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-01T11:19:38Z,2016-01-01T11:19:38Z
Application_428409768,A_Concept,User_1,2016/01/01 12:20:37.422,2016/01/01 12:20:37.422,Variant 209,209,New credit,Home improvement,15e3,NA,statechange,NA,ApplState_1727723699,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-01T11:20:37Z,2016-01-01T11:20:37Z
Application_428409768,W_Complete application,User_19,2016/01/02 11:55:03.169,2016/01/02 12:06:53.291,Variant 209,209,New credit,Home improvement,15e3,NA,Deleted,NA,Workitem_2003414398,Workflow,NA,NA,NA,NA,NA,NA,complete,2016-01-02T10:55:03Z,2016-01-02T11:06:53Z
Application_428409768,A_Accepted,User_19,2016/01/02 12:02:44.472,2016/01/02 12:02:44.472,Variant 209,209,New credit,Home improvement,15e3,NA,statechange,NA,ApplState_504362841,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-02T11:02:44Z,2016-01-02T11:02:44Z
Application_428409768,O_Create Offer,User_19,2016/01/02 12:05:15.942,2016/01/02 12:05:15.942,Variant 209,209,New credit,Home improvement,15e3,true,Created,0,Offer_1209840642,Offer,15e3,158.98,120,NA,15e3,false,complete,2016-01-02T11:05:15Z,2016-01-02T11:05:15Z
Application_428409768,O_Created,User_19,2016/01/02 12:05:17.204,2016/01/02 12:05:17.204,Variant 209,209,New credit,Home improvement,15e3,NA,statechange,NA,OfferState_942949889,Offer,NA,NA,NA,Offer_1209840642,NA,NA,complete,2016-01-02T11:05:17Z,2016-01-02T11:05:17Z
Application_428409768,O_Sent (mail and online),User_19,2016/01/02 12:06:53.268,2016/01/02 12:06:53.268,Variant 209,209,New credit,Home improvement,15e3,NA,statechange,NA,OfferState_253970058,Offer,NA,NA,NA,Offer_1209840642,NA,NA,complete,2016-01-02T11:06:53Z,2016-01-02T11:06:53Z
Application_428409768,W_Call after offers,User_19,2016/01/02 12:06:53.312,2016/01/02 12:06:53.312,Variant 209,209,New credit,Home improvement,15e3,NA,Obtained,NA,Workitem_1340137029,Workflow,NA,NA,NA,NA,NA,NA,start,2016-01-02T11:06:53Z,2016-01-02T11:06:53Z
Application_428409768,A_Complete,User_19,2016/01/02 12:06:53.316,2016/01/02 12:06:53.316,Variant 209,209,New credit,Home improvement,15e3,NA,statechange,NA,ApplState_864110001,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-02T11:06:53Z,2016-01-02T11:06:53Z
Application_428409768,O_Create Offer,User_19,2016/01/02 12:25:44.202,2016/01/02 12:25:44.202,Variant 209,209,New credit,Home improvement,15e3,true,Created,1059,Offer_997411923,Offer,15e3,158.98,120,NA,15e3,true,complete,2016-01-02T11:25:44Z,2016-01-02T11:25:44Z
Application_428409768,O_Created,User_19,2016/01/02 12:25:45.416,2016/01/02 12:25:45.416,Variant 209,209,New credit,Home improvement,15e3,NA,statechange,NA,OfferState_1967587147,Offer,NA,NA,NA,Offer_997411923,NA,NA,complete,2016-01-02T11:25:45Z,2016-01-02T11:25:45Z
Application_428409768,O_Cancelled,User_19,2016/01/02 12:26:06.088,2016/01/02 12:26:06.088,Variant 209,209,New credit,Home improvement,15e3,NA,statechange,NA,OfferState_1893960455,Offer,NA,NA,NA,Offer_1209840642,NA,NA,complete,2016-01-02T11:26:06Z,2016-01-02T11:26:06Z
Application_428409768,O_Sent (mail and online),User_19,2016/01/02 12:26:19.140,2016/01/02 12:26:19.140,Variant 209,209,New credit,Home improvement,15e3,NA,statechange,NA,OfferState_600565321,Offer,NA,NA,NA,Offer_997411923,NA,NA,complete,2016-01-02T11:26:19Z,2016-01-02T11:26:19Z
Application_428409768,W_Validate application,User_116,2016/01/13 09:57:21.342,2016/01/13 09:57:21.342,Variant 209,209,New credit,Home improvement,15e3,NA,Obtained,NA,Workitem_1121078170,Workflow,NA,NA,NA,NA,NA,NA,start,2016-01-13T08:57:21Z,2016-01-13T08:57:21Z
Application_428409768,A_Validating,User_116,2016/01/13 09:57:22.349,2016/01/13 09:57:22.349,Variant 209,209,New credit,Home improvement,15e3,NA,statechange,NA,ApplState_145257449,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-13T08:57:22Z,2016-01-13T08:57:22Z
Application_428409768,O_Returned,User_116,2016/01/13 10:08:14.217,2016/01/13 10:08:14.217,Variant 209,209,New credit,Home improvement,15e3,NA,statechange,NA,OfferState_836197344,Offer,NA,NA,NA,Offer_997411923,NA,NA,complete,2016-01-13T09:08:14Z,2016-01-13T09:08:14Z
Application_428409768,W_Call incomplete files,User_101,2016/01/13 13:19:05.172,2016/01/13 13:19:05.172,Variant 209,209,New credit,Home improvement,15e3,NA,Obtained,NA,Workitem_1761470628,Workflow,NA,NA,NA,NA,NA,NA,start,2016-01-13T12:19:05Z,2016-01-13T12:19:05Z
Application_428409768,A_Incomplete,User_101,2016/01/13 13:19:05.175,2016/01/13 13:19:05.175,Variant 209,209,New credit,Home improvement,15e3,NA,statechange,NA,ApplState_572176202,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-13T12:19:05Z,2016-01-13T12:19:05Z
Application_428409768,W_Validate application,User_31,2016/01/13 17:01:21.201,2016/01/13 17:01:21.201,Variant 209,209,New credit,Home improvement,15e3,NA,Obtained,NA,Workitem_394720997,Workflow,NA,NA,NA,NA,NA,NA,start,2016-01-13T16:01:21Z,2016-01-13T16:01:21Z
Application_428409768,A_Validating,User_31,2016/01/13 17:01:21.274,2016/01/13 17:01:21.274,Variant 209,209,New credit,Home improvement,15e3,NA,statechange,NA,ApplState_1022298,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-13T16:01:21Z,2016-01-13T16:01:21Z
Application_428409768,O_Accepted,User_90,2016/01/14 08:00:14.440,2016/01/14 08:00:14.440,Variant 209,209,New credit,Home improvement,15e3,NA,statechange,NA,OfferState_892473715,Offer,NA,NA,NA,Offer_997411923,NA,NA,complete,2016-01-14T07:00:14Z,2016-01-14T07:00:14Z
Application_428409768,A_Pending,User_90,2016/01/14 08:00:14.450,2016/01/14 08:00:14.450,Variant 209,209,New credit,Home improvement,15e3,NA,statechange,NA,ApplState_16917315,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-14T07:00:14Z,2016-01-14T07:00:14Z
Application_1746793196,A_Create Application,User_1,2016/01/01 13:34:53.911,2016/01/01 13:34:53.911,Variant 256,256,New credit,Car,5e3,NA,Created,NA,Application_1746793196,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-01T12:34:53Z,2016-01-01T12:34:53Z
Application_1746793196,A_Submitted,User_1,2016/01/01 13:34:53.950,2016/01/01 13:34:53.950,Variant 256,256,New credit,Car,5e3,NA,statechange,NA,ApplState_282472804,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-01T12:34:53Z,2016-01-01T12:34:53Z
Application_1746793196,W_Handle leads,User_17,2016/01/02 10:05:02.658,2016/01/02 10:06:04.201,Variant 256,256,New credit,Car,5e3,NA,Deleted,NA,Workitem_548358991,Workflow,NA,NA,NA,NA,NA,NA,complete,2016-01-02T09:05:02Z,2016-01-02T09:06:04Z
Application_1746793196,W_Complete application,User_19,2016/01/02 10:06:04.209,2016/01/04 18:23:02.547,Variant 256,256,New credit,Car,5e3,NA,Deleted,NA,Workitem_1167420013,Workflow,NA,NA,NA,NA,NA,NA,complete,2016-01-02T09:06:04Z,2016-01-04T17:23:02Z
Application_1746793196,A_Concept,User_17,2016/01/02 10:06:04.213,2016/01/02 10:06:04.213,Variant 256,256,New credit,Car,5e3,NA,statechange,NA,ApplState_694592100,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-02T09:06:04Z,2016-01-02T09:06:04Z
Application_1746793196,A_Accepted,User_19,2016/01/04 18:15:59.130,2016/01/04 18:15:59.130,Variant 256,256,New credit,Car,5e3,NA,statechange,NA,ApplState_954927792,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-04T17:15:59Z,2016-01-04T17:15:59Z
Application_1746793196,O_Create Offer,User_19,2016/01/04 18:19:15.892,2016/01/04 18:19:15.892,Variant 256,256,New credit,Car,5e3,false,Created,0,Offer_1319158006,Offer,3726,198.65,96,NA,15700,false,complete,2016-01-04T17:19:15Z,2016-01-04T17:19:15Z
Application_1746793196,O_Created,User_19,2016/01/04 18:19:17.295,2016/01/04 18:19:17.295,Variant 256,256,New credit,Car,5e3,NA,statechange,NA,OfferState_133034254,Offer,NA,NA,NA,Offer_1319158006,NA,NA,complete,2016-01-04T17:19:17Z,2016-01-04T17:19:17Z
Application_1746793196,O_Sent (mail and online),User_19,2016/01/04 18:23:02.522,2016/01/04 18:23:02.522,Variant 256,256,New credit,Car,5e3,NA,statechange,NA,OfferState_644503319,Offer,NA,NA,NA,Offer_1319158006,NA,NA,complete,2016-01-04T17:23:02Z,2016-01-04T17:23:02Z
Application_1746793196,W_Call after offers,User_19,2016/01/04 18:23:02.562,2016/01/04 18:23:02.562,Variant 256,256,New credit,Car,5e3,NA,Obtained,NA,Workitem_448873828,Workflow,NA,NA,NA,NA,NA,NA,start,2016-01-04T17:23:02Z,2016-01-04T17:23:02Z
Application_1746793196,A_Complete,User_19,2016/01/04 18:23:02.565,2016/01/04 18:23:02.565,Variant 256,256,New credit,Car,5e3,NA,statechange,NA,ApplState_1386029472,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-04T17:23:02Z,2016-01-04T17:23:02Z
Application_1746793196,O_Create Offer,User_12,2016/01/09 10:48:22.412,2016/01/09 10:48:22.412,Variant 256,256,New credit,Car,5e3,false,Created,834,Offer_774210695,Offer,3726,252.73,72,NA,15700,true,complete,2016-01-09T09:48:22Z,2016-01-09T09:48:22Z
Application_1746793196,O_Created,User_12,2016/01/09 10:48:23.790,2016/01/09 10:48:23.790,Variant 256,256,New credit,Car,5e3,NA,statechange,NA,OfferState_277936825,Offer,NA,NA,NA,Offer_774210695,NA,NA,complete,2016-01-09T09:48:23Z,2016-01-09T09:48:23Z
Application_1746793196,O_Sent (mail and online),User_12,2016/01/09 10:48:33.917,2016/01/09 10:48:33.917,Variant 256,256,New credit,Car,5e3,NA,statechange,NA,OfferState_307874946,Offer,NA,NA,NA,Offer_774210695,NA,NA,complete,2016-01-09T09:48:33Z,2016-01-09T09:48:33Z
Application_1746793196,W_Validate application,User_95,2016/01/25 14:37:28.559,2016/01/28 10:18:39.340,Variant 256,256,New credit,Car,5e3,NA,Deleted,NA,Workitem_337672531,Workflow,NA,NA,NA,NA,NA,NA,complete,2016-01-25T13:37:28Z,2016-01-28T09:18:39Z
Application_1746793196,A_Validating,User_119,2016/01/25 14:37:29.552,2016/01/25 14:37:29.552,Variant 256,256,New credit,Car,5e3,NA,statechange,NA,ApplState_1497466516,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-25T13:37:29Z,2016-01-25T13:37:29Z
Application_1746793196,O_Returned,User_119,2016/01/25 14:37:59.579,2016/01/25 14:37:59.579,Variant 256,256,New credit,Car,5e3,NA,statechange,NA,OfferState_229951725,Offer,NA,NA,NA,Offer_774210695,NA,NA,complete,2016-01-25T13:37:59Z,2016-01-25T13:37:59Z
Application_1746793196,W_Call incomplete files,User_114,2016/01/26 09:42:09.995,2016/01/26 09:42:09.995,Variant 256,256,New credit,Car,5e3,NA,Obtained,NA,Workitem_1935741063,Workflow,NA,NA,NA,NA,NA,NA,start,2016-01-26T08:42:09Z,2016-01-26T08:42:09Z
Application_1746793196,A_Incomplete,User_114,2016/01/26 09:42:09.997,2016/01/26 09:42:09.997,Variant 256,256,New credit,Car,5e3,NA,statechange,NA,ApplState_413924701,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-26T08:42:09Z,2016-01-26T08:42:09Z
Application_1746793196,W_Validate application,User_95,2016/01/27 11:57:57.379,2016/01/28 13:18:51.295,Variant 256,256,New credit,Car,5e3,NA,Deleted,NA,Workitem_871836313,Workflow,NA,NA,NA,NA,NA,NA,complete,2016-01-27T10:57:57Z,2016-01-28T12:18:51Z
Application_1746793196,A_Validating,User_118,2016/01/27 11:57:57.455,2016/01/27 11:57:57.455,Variant 256,256,New credit,Car,5e3,NA,statechange,NA,ApplState_1925923775,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-27T10:57:57Z,2016-01-27T10:57:57Z
Application_1746793196,W_Call incomplete files,User_95,2016/01/28 10:18:39.348,2016/01/28 10:18:39.348,Variant 256,256,New credit,Car,5e3,NA,Obtained,NA,Workitem_1372798638,Workflow,NA,NA,NA,NA,NA,NA,start,2016-01-28T09:18:39Z,2016-01-28T09:18:39Z
Application_1746793196,A_Incomplete,User_95,2016/01/28 10:18:39.350,2016/01/28 10:18:39.350,Variant 256,256,New credit,Car,5e3,NA,statechange,NA,ApplState_1073225954,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-28T09:18:39Z,2016-01-28T09:18:39Z
Application_1746793196,W_Validate application,User_116,2016/01/28 12:56:13.868,2016/01/28 12:56:13.868,Variant 256,256,New credit,Car,5e3,NA,Obtained,NA,Workitem_320505088,Workflow,NA,NA,NA,NA,NA,NA,start,2016-01-28T11:56:13Z,2016-01-28T11:56:13Z
Application_1746793196,A_Validating,User_116,2016/01/28 12:56:13.933,2016/01/28 12:56:13.933,Variant 256,256,New credit,Car,5e3,NA,statechange,NA,ApplState_620620025,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-28T11:56:13Z,2016-01-28T11:56:13Z
Application_1746793196,O_Accepted,User_95,2016/01/28 13:18:51.289,2016/01/28 13:18:51.289,Variant 256,256,New credit,Car,5e3,NA,statechange,NA,OfferState_379863070,Offer,NA,NA,NA,Offer_774210695,NA,NA,complete,2016-01-28T12:18:51Z,2016-01-28T12:18:51Z
Application_1746793196,A_Pending,User_95,2016/01/28 13:18:51.292,2016/01/28 13:18:51.292,Variant 256,256,New credit,Car,5e3,NA,statechange,NA,ApplState_1840619616,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-28T12:18:51Z,2016-01-28T12:18:51Z
Application_1746793196,O_Cancelled,User_95,2016/01/28 13:18:51.306,2016/01/28 13:18:51.306,Variant 256,256,New credit,Car,5e3,NA,statechange,NA,OfferState_256378072,Offer,NA,NA,NA,Offer_1319158006,NA,NA,complete,2016-01-28T12:18:51Z,2016-01-28T12:18:51Z
Application_828200680,A_Create Application,User_1,2016/01/01 14:00:04.360,2016/01/01 14:00:04.360,Variant 1,1,New credit,Home improvement,35e3,NA,Created,NA,Application_828200680,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-01T13:00:04Z,2016-01-01T13:00:04Z
Application_828200680,A_Submitted,User_1,2016/01/01 14:00:04.398,2016/01/01 14:00:04.398,Variant 1,1,New credit,Home improvement,35e3,NA,statechange,NA,ApplState_420123528,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-01T13:00:04Z,2016-01-01T13:00:04Z
Application_828200680,A_Concept,User_1,2016/01/01 14:01:44.671,2016/01/01 14:01:44.671,Variant 1,1,New credit,Home improvement,35e3,NA,statechange,NA,ApplState_281446729,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-01T13:01:44Z,2016-01-01T13:01:44Z
Application_828200680,W_Complete application,User_19,2016/01/02 12:32:57.796,2016/01/02 12:43:56.259,Variant 1,1,New credit,Home improvement,35e3,NA,Deleted,NA,Workitem_975111658,Workflow,NA,NA,NA,NA,NA,NA,complete,2016-01-02T11:32:57Z,2016-01-02T11:43:56Z
Application_828200680,A_Accepted,User_19,2016/01/02 12:40:45.797,2016/01/02 12:40:45.797,Variant 1,1,New credit,Home improvement,35e3,NA,statechange,NA,ApplState_873422308,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-02T11:40:45Z,2016-01-02T11:40:45Z
Application_828200680,O_Create Offer,User_19,2016/01/02 12:42:23.751,2016/01/02 12:42:23.751,Variant 1,1,New credit,Home improvement,35e3,true,Created,0,Offer_607758096,Offer,35e3,366.08,120,NA,35e3,false,complete,2016-01-02T11:42:23Z,2016-01-02T11:42:23Z
Application_828200680,O_Created,User_19,2016/01/02 12:42:25.106,2016/01/02 12:42:25.106,Variant 1,1,New credit,Home improvement,35e3,NA,statechange,NA,OfferState_328204955,Offer,NA,NA,NA,Offer_607758096,NA,NA,complete,2016-01-02T11:42:25Z,2016-01-02T11:42:25Z
Application_828200680,O_Sent (mail and online),User_19,2016/01/02 12:43:56.242,2016/01/02 12:43:56.242,Variant 1,1,New credit,Home improvement,35e3,NA,statechange,NA,OfferState_1161306540,Offer,NA,NA,NA,Offer_607758096,NA,NA,complete,2016-01-02T11:43:56Z,2016-01-02T11:43:56Z
Application_828200680,W_Call after offers,User_19,2016/01/02 12:43:56.269,2016/01/02 12:43:56.269,Variant 1,1,New credit,Home improvement,35e3,NA,Obtained,NA,Workitem_1894841035,Workflow,NA,NA,NA,NA,NA,NA,start,2016-01-02T11:43:56Z,2016-01-02T11:43:56Z
